account,caption,datetime,day,followers,following,hashtags,isvideo,link,mentions,no_posts,target_lv,timeofday
zachking,Who has danced with this #hotdog ?? #dancing w/ @rachelmking ???,2017-07-24T14:42:20.000Z,Monday,20100000,23,2,True,https://www.instagram.com/p/BW7tzUulyuC/?taken-by=zachking,1,787,5165118,midday
zachking,What do you think I was saying underwater?? ??? #magic #instagram #summer #swimming,2017-07-14T08:16:28.000Z,Friday,20100000,23,4,True,https://www.instagram.com/p/BWhRsdvFay_/?taken-by=zachking,0,787,32623894,morning
zachking,"Hanging on for the #weekend. ?
Can you guess how we took this photo?",2017-06-27T12:06:43.000Z,Tuesday,20100000,23,1,False,https://www.instagram.com/p/BV16h7SFuwl/?taken-by=zachking,0,787,993256,midday
zachking,Olympic tryouts gone wrong. ??Comment if you are you doing anything active today in honor of #OlympicDay,2017-06-23T15:01:52.000Z,Friday,20100000,23,1,True,https://www.instagram.com/p/BVr7ZSzFs_t/?taken-by=zachking,0,787,5460073,midday
zachking,Tag 2 friends who would think this is cute!! ??? #singing #ducks #magic #mondaymotivation,2017-06-12T08:18:53.000Z,Monday,20100000,23,4,True,https://www.instagram.com/p/BVO4iK9l8i6/?taken-by=zachking,0,787,6675818,morning
zachking,"You have a chance to be a character in my new book!!! ???Submit a fun or magical selfie and use the #MyMagicalSelfie so we can find it. If you don't have a social media account/or it is a private account, please upload the photo it to our website www.ZachKingMagic.com so we can still see it. We will announce the 3 winners on Saturday, June 10th, so hurry and take your photo!",2017-06-07T13:35:52.000Z,Wednesday,20100000,23,1,False,https://www.instagram.com/p/BVCk1c1lIYE/?taken-by=zachking,0,787,516783,midday
zachking,#Mime ?vs the #Magician ?- miming by @samwickert,2017-06-05T12:47:25.000Z,Monday,20100000,23,2,True,https://www.instagram.com/p/BU9Vsz3lNiQ/?taken-by=zachking,1,787,4991473,midday
zachking,"Always have a backup escape plan. #magic - Also, don't steal. w/ @jadononthego",2017-05-17T19:51:30.000Z,Wednesday,20100000,23,1,True,https://www.instagram.com/p/BUNLITUFoiL/?taken-by=zachking,1,787,6309102,night
zachking,"I'm excited to launch my brand new book. ???You can get the discounted pre-order price now by clicking the link in the profile.
We are mailing out a free exclusive signed sticker pack to the first 1,000 people who send their order confirmations to ZachKingMagic.com",2017-05-10T13:55:50.000Z,Wednesday,20100000,23,0,True,https://www.instagram.com/p/BT6g3J3lO3i/?taken-by=zachking,0,787,6156609,midday
amandacerny,See you tomorrow ??,2017-09-11T07:58:35.000Z,Monday,17400000,227,0,False,https://www.instagram.com/p/BY5KjGNhPsV/?taken-by=amandacerny,0,1491,389382,morning
amandacerny,Is that a burrito? ????,2017-09-10T04:59:10.000Z,Sunday,17400000,227,0,False,https://www.instagram.com/p/BY2ROHEBa_g/?taken-by=amandacerny,0,1491,637506,night
amandacerny,When he comes looking for you after that free drink ? @Edhozell #AmandaCerny,2017-09-09T02:45:00.000Z,Saturday,17400000,227,1,True,https://www.instagram.com/p/BYzdEhPByN1/?taken-by=amandacerny,1,1491,2208623,night
amandacerny,"8.2 magnitude earthquake just hit Mexico, Tsunami predicted, An Orang Utan.. reallyyyyy, Massive California wildfire, and 3 devastating Hurricanes (one of which is about to hit my entire family in south Florida. I'm so scared for them and everyone in it's path but am not sure how to help keep them safe at the moment outside of positive vibes and prayers)... All of these natural disasters are a desperate cry for help from Mother Nature! So as angry, afraid, sad or confused as we may be; We need to listen and start taking better care of her. ?? #TeamCerny #BeAGoodHuman #Love #PrayforEveryone ?????",2017-09-08T10:34:59.000Z,Friday,17400000,227,4,False,https://www.instagram.com/p/BYxuD6ThTc8/?taken-by=amandacerny,0,1491,431201,morning
amandacerny,Been trying to learn how to juggle this forever !!!!! Ball is literally life. ??,2017-09-07T22:04:04.000Z,Thursday,17400000,227,0,False,https://www.instagram.com/p/BYwYIEvhvJE/?taken-by=amandacerny,0,1491,730508,night
amandacerny,Finally sharing my personal playlist that I update daily! ??? Follow now and be some of the first!! (Link in bio ) What should I name my playlist ?!?,2017-09-07T05:34:31.000Z,Thursday,17400000,227,0,False,https://www.instagram.com/p/BYum4VwB4nn/?taken-by=amandacerny,0,1491,164165,morning
amandacerny,Super ??,2017-09-06T23:35:25.000Z,Wednesday,17400000,227,0,False,https://www.instagram.com/p/BYt9yNrBI5O/?taken-by=amandacerny,0,1491,975931,night
amandacerny,I’ve partnered with DraftKings to tell you about the #BillionDollarLineup! You can win $1 BILLION by picking the perfect lineup in NFL Week 1. It’s absolutely FREE to enter. Go to DraftKings.com and draft your lineup now!,2017-09-06T18:34:50.000Z,Wednesday,17400000,227,1,True,https://www.instagram.com/p/BYtbYwPBPTM/?taken-by=amandacerny,0,1491,2859854,evening
amandacerny,"#CernyFACT: I have always had an ""awesome"" imagination. My family adopted a Dalmatian which they soon got rid of because it viciously hated everyone except for me. Since then I was convinced that I was for sure a Dalmatian and wore spots ... I believed this until I was around 13 years old ??? (( Tell me a fact about you! )) #MyDadStillCallsMePandaPup ?",2017-09-06T06:29:02.000Z,Wednesday,17400000,227,2,False,https://www.instagram.com/p/BYsIU0SB0SS/?taken-by=amandacerny,0,1491,310964,morning
amandacerny,When someone lights up a cigarette ???????,2017-09-05T03:32:28.000Z,Tuesday,17400000,227,0,True,https://www.instagram.com/p/BYpPUs8BAQq/?taken-by=amandacerny,0,1491,3849616,night
amandacerny,Hollywood is work. Miami is home??,2017-09-04T18:10:13.000Z,Monday,17400000,227,0,False,https://www.instagram.com/p/BYoO-qRBFZZ/?taken-by=amandacerny,0,1491,1033486,evening
amandacerny,There's always an exception??#meme @benakribo @thestoryofubi @alfysaga #AmandaCerny,2017-09-03T22:26:24.000Z,Sunday,17400000,227,2,True,https://www.instagram.com/p/BYmHgGgB-7q/?taken-by=amandacerny,3,1491,3369342,night
sporf.official,"Tag a mate who still thinks it wasn't a red card! ???
.
? Snapchat: SPORF.Official
? @SPORF.official
? @SPORF.Skills
? @SPORF.Freestyle
? @SPORF.Kicks ? Facebook: SPORF ? Twitter: SPORF",2017-09-11T16:51:41.000Z,Monday,12800000,460,0,False,https://www.instagram.com/p/BY6Hjm6DL9W/?taken-by=sporf.official,4,6043,79888,evening
sporf.official,"Describe @atlutd's brand new stadium with one emoji! ??
.
?: @danielkobin
.
? Snapchat: SPORF.Official
? @SPORF.official
? @SPORF.Skills
? @SPORF.Freestyle
? @SPORF.Kicks ? Facebook: SPORF ? Twitter: SPORF",2017-09-11T08:48:29.000Z,Monday,12800000,460,0,False,https://www.instagram.com/p/BY5QQjsDrOo/?taken-by=sporf.official,6,6043,68146,morning
sporf.official,"Beach training ?????
? @gps_soccerassassins @ssshawnaaa
.
? Snapchat: SPORF.Official
? @SPORF.official
? @SPORF.Skills
? @SPORF.Freestyle
? @SPORF.Kicks ? Facebook: SPORF ? Twitter: SPORF",2017-09-10T22:44:53.000Z,Sunday,12800000,460,0,True,https://www.instagram.com/p/BY4LLnMjZ4P/?taken-by=sporf.official,6,6043,720465,night
sporf.official,"Accuracy on point! ?????
? @strkrfc
.
? Snapchat: SPORF.Official
? @SPORF.official
? @SPORF.Skills
? @SPORF.Freestyle
? @SPORF.Kicks ? Facebook: SPORF ? Twitter: SPORF",2017-09-10T16:35:05.000Z,Sunday,12800000,460,0,True,https://www.instagram.com/p/BY3g3F0DnOX/?taken-by=sporf.official,5,6043,683678,evening
sporf.official,"Caption this! ???
.
? Snapchat: SPORF.Official
? @SPORF.official
? @SPORF.Skills
? @SPORF.Freestyle
? @SPORF.Kicks ? Facebook: SPORF ? Twitter: SPORF",2017-09-10T12:03:18.000Z,Sunday,12800000,460,0,False,https://www.instagram.com/p/BY3BwlpDkhb/?taken-by=sporf.official,4,6043,137245,midday
sporf.official,"4??2?? Career Hattricks ??????
.
The King @LeoMessi ??
.
? Snapchat: SPORF.Official
? @SPORF.official
? @SPORF.Skills
? @SPORF.Freestyle
? @SPORF.Kicks ? Facebook: SPORF ? Twitter: SPORF",2017-09-09T21:45:29.000Z,Saturday,12800000,460,0,False,https://www.instagram.com/p/BY1fltvDzg4/?taken-by=sporf.official,5,6043,106133,night
sporf.official,"@ederson93's head injury revealed by @benmendy23 ???
.
? Snapchat: SPORF.Official
? @SPORF.official
? @SPORF.Skills
? @SPORF.Freestyle
? @SPORF.Kicks ? Facebook: SPORF ? Twitter: SPORF",2017-09-09T15:18:24.000Z,Saturday,12800000,460,0,True,https://www.instagram.com/p/BY0zSrTj_ul/?taken-by=sporf.official,6,6043,412233,midday
sporf.official,"Should Sadio Mane have been sent off? ??
.
Yes ? or No ?",2017-09-09T13:56:32.000Z,Saturday,12800000,460,0,False,https://www.instagram.com/p/BY0p6-rjIJz/?taken-by=sporf.official,0,6043,103266,midday
sporf.official,"Absolutely ruined ?????
? @randalldorosario
.
? Snapchat: SPORF.Official
? @SPORF.official
? @SPORF.Skills
? @SPORF.Freestyle
? @SPORF.Kicks ? Facebook: SPORF ? Twitter: SPORF",2017-09-09T09:34:23.000Z,Saturday,12800000,460,0,True,https://www.instagram.com/p/BY0L682jw28/?taken-by=sporf.official,5,6043,509808,morning
sporf.official,"@Neymarjr : ? + ?
@K.Mbappe29 : ? + ?
@Cavaniofficial21 : ??
.
Frightening attack ????",2017-09-08T21:38:17.000Z,Friday,12800000,460,0,False,https://www.instagram.com/p/BYy5-EEjOOR/?taken-by=sporf.official,3,6043,151811,night
sporf.official,"Putting the ball away in style ?????
? @themoderndaygk
.
? Snapchat: SPORF.Official
? @SPORF.official
? @SPORF.Skills
? @SPORF.Freestyle
? @SPORF.Kicks
? Facebook: SPORF ? Twitter: SPORF",2017-09-08T20:27:09.000Z,Friday,12800000,460,0,True,https://www.instagram.com/p/BYyx1GxjjH0/?taken-by=sporf.official,5,6043,578017,night
sporf.official,"Wait for it... ????
? @todayitsfootball
.
? Snapchat: SPORF.Official
? @SPORF.official
? @SPORF.Skills
? @SPORF.Freestyle
? @SPORF.Kicks ? Facebook: SPORF ? Twitter: SPORF",2017-09-08T12:03:44.000Z,Friday,12800000,460,0,True,https://www.instagram.com/p/BYx4N6xj3V-/?taken-by=sporf.official,5,6043,738986,midday
michelle_lewin,"After the storm?Despues de la tormenta
-Glutes & Shoulders?Gluteos con Hombros???
-My new app @mealplan_app soon available?????Mi aplicación de planes de comida PRONTO disponible @mealplan_app MUSIC: @r3hab",2017-09-11T17:29:09.000Z,Monday,12500000,73,0,True,https://www.instagram.com/p/BY6L2E3BLTU/?taken-by=michelle_lewin,3,1065,585087,evening
michelle_lewin,"Cancelled flight to Mexico City, so I'll stay here in Miami Beach???Vuelo cancelado para CDMX y me quedo aqui en Miami??
@christopherhedlundphotography",2017-09-09T13:57:37.000Z,Saturday,12500000,73,0,False,https://www.instagram.com/p/BY0qC7QBHbj/?taken-by=michelle_lewin,1,1065,206762,midday
michelle_lewin,"Finally!!????POR FIN????
-Dieting and meal planning is really tricky... Let me help you with that! My meal plan app is almost ready?
Sign up NOW to get if first! Link in bio!????
-EN ESPAÑOL: Hacer dieta y planificar tus comidas es realmente complicado ... Déjame ayudarte con eso! ¡Mi aplicación de planes de comida ya está casi lista! Regístrate ahora para que puedas ser el primero en tenerla en español: es.fitplanapp.com/mealplan",2017-09-06T17:54:25.000Z,Wednesday,12500000,73,0,True,https://www.instagram.com/p/BYtWwuhhqYz/?taken-by=michelle_lewin,0,1065,1022985,evening
michelle_lewin,"Remo con peso muerto???
-Back row & Straight leg dead lift beach style?",2017-09-04T16:15:43.000Z,Monday,12500000,73,0,True,https://www.instagram.com/p/BYoB4F5hisb/?taken-by=michelle_lewin,0,1065,4614363,evening
michelle_lewin,Sundays be like ??,2017-09-03T17:43:59.000Z,Sunday,12500000,73,0,False,https://www.instagram.com/p/BYlnLtohQVg/?taken-by=michelle_lewin,0,1065,243013,evening
michelle_lewin,"It's a girls thang?
-Lucha mujerrr, lucha?
?: @jimmy_lewin ???",2017-08-31T16:24:42.000Z,Thursday,12500000,73,0,True,https://www.instagram.com/p/BYdvuTRhpJL/?taken-by=michelle_lewin,1,1065,2756848,evening
michelle_lewin,"Workout on a ??day(Part II)
-Entrenando en la playa (Parte Il)?
??@tulumjunglegym??@t_and_sugah",2017-08-29T17:27:57.000Z,Tuesday,12500000,73,0,True,https://www.instagram.com/p/BYYtX5RBU4M/?taken-by=michelle_lewin,2,1065,5165621,evening
michelle_lewin,"I'm off ?????????
by @harrylhgfx",2017-08-28T17:06:30.000Z,Monday,12500000,73,0,False,https://www.instagram.com/p/BYWGH6LhG4v/?taken-by=michelle_lewin,1,1065,250582,evening
michelle_lewin,"Ab workout on a ??day(Part I)
-Entrenando abs en la playa?(Parte I)
@tulumjunglegym???@t_and_sugah",2017-08-26T16:04:03.000Z,Saturday,12500000,73,0,True,https://www.instagram.com/p/BYQ1Yv7hfyg/?taken-by=michelle_lewin,2,1065,1771340,evening
michelle_lewin,"Who's up for surfin???????
? @harrylhgfx",2017-08-25T17:33:22.000Z,Friday,12500000,73,0,False,https://www.instagram.com/p/BYOa0E1Bf4X/?taken-by=michelle_lewin,1,1065,234599,evening
michelle_lewin,Back in #Miami and the shape check is on?? Ya en Miami? Pronto para #Argentina y #CDMX,2017-08-23T18:39:12.000Z,Wednesday,12500000,73,3,True,https://www.instagram.com/p/BYJYwfmBqpp/?taken-by=michelle_lewin,0,1065,4936063,evening
michelle_lewin,"Glutes u want-Glutes u shall have?
-15 reps #StiffLegDeadLifts & 8 reps per leg #OneLegGluteBridge: 3 sets?
-Combinacion para gluteos! 15 repeticiones con 8 repeticiones cada pierna: 3 series. Gym @anatomyat1220",2017-08-21T18:15:56.000Z,Monday,12500000,73,2,True,https://www.instagram.com/p/BYEMgQLBzyb/?taken-by=michelle_lewin,1,1065,1259143,evening
jenselter,"Happy Sunday babes! ? I wanted to share some advice for those of you feeling frustrated from not seeing the progress you'd like to see. Self-appreciation and self-gratitude is so important and the mental and emotional component of loving and appreciating yourself is just as powerful as working your butt off in the gym. It's easy to feel defeated and angry if you skip a day at the gym or if you have an extra cheat meal. It happens to every. single. one. of us. But that's OKAY! Don't get angry or too hard on yourself, you're human. Instead, love, empower and applaud yourself for working as hard as you do, eating clean regularly and taking care of your body. Exercising, fueling your body with nutrient rich foods and taking mental health days is necessary for a healthy and happy life. And remember to love yourself! Because at the end of the day, why are you taking care of your body? To look and feel good! So remember that as the ultimate goal and always find time to love yourself. You're absolutely beautiful...the rest of the world sees it and you need to take the time to see it for yourself too! xoxo",2017-09-11T00:20:05.000Z,Monday,11500000,167,0,False,https://www.instagram.com/p/BY4WE7Uhl4G/?taken-by=jenselter,0,1018,291385,night
jenselter,"Hey Guys! I’ll be at @mrolympiallc in Vegas with @bodylogix on September 15th & 16th (1-3pm). I hope to see you all there, come say hello ?",2017-09-08T20:33:01.000Z,Friday,11500000,167,0,False,https://www.instagram.com/p/BYyygFWBkl8/?taken-by=jenselter,2,1018,241343,night
jenselter,?,2017-09-07T22:24:32.000Z,Thursday,11500000,167,0,True,https://www.instagram.com/p/BYwad7Ohppg/?taken-by=jenselter,0,1018,999935,night
jenselter,"? $2,500 GIVEAWAY IS HERE!  Click the link in my bio to create your FREE @peekslive account and watch my last video to find out how you can win the cash prize ?",2017-09-06T22:19:30.000Z,Wednesday,11500000,167,0,False,https://www.instagram.com/p/BYt1GNHhKzh/?taken-by=jenselter,1,1018,211214,night
jenselter,Sunday Funday,2017-09-03T23:52:27.000Z,Sunday,11500000,167,0,False,https://www.instagram.com/p/BYmRWWxBV5I/?taken-by=jenselter,0,1018,303805,night
jenselter,"Shoutout to my Facebook fam for helping me pick this picture, you ladies motivate me everyday??? Join us if you want more positivity in your life -> link in bio #seltering #womensempowerment",2017-09-02T23:45:22.000Z,Saturday,11500000,167,2,False,https://www.instagram.com/p/BYjrvmShpaL/?taken-by=jenselter,0,1018,256283,night
jenselter,?,2017-09-01T23:19:50.000Z,Friday,11500000,167,0,False,https://www.instagram.com/p/BYhEBt_B2Ww/?taken-by=jenselter,0,1018,156795,night
jenselter,"Ok summer, you can stay ?",2017-09-01T00:43:01.000Z,Friday,11500000,167,0,False,https://www.instagram.com/p/BYeowH_hmR6/?taken-by=jenselter,0,1018,296743,night
jenselter,Flash off. Flash on. Reflective @gymlooks set ??,2017-08-30T21:18:38.000Z,Wednesday,11500000,167,0,False,https://www.instagram.com/p/BYbskT4g_i0/?taken-by=jenselter,1,1018,172637,night
jenselter,New Monday. New week. New goals.,2017-08-28T23:43:01.000Z,Monday,11500000,167,0,False,https://www.instagram.com/p/BYWzgGPBiBb/?taken-by=jenselter,0,1018,276884,night
jenselter,"Can't let #NationalDogDay go by without giving a shoutout to my lil nugget @brodygramselter ?? ps. I am obsessed with him, if you follow me on Snapchat I think ya know that",2017-08-26T20:54:42.000Z,Saturday,11500000,167,1,False,https://www.instagram.com/p/BYRWpjkhaO9/?taken-by=jenselter,1,1018,213161,night
jenselter,?,2017-08-26T01:42:19.000Z,Saturday,11500000,167,0,False,https://www.instagram.com/p/BYPSxLsh95C/?taken-by=jenselter,0,1018,379389,night
alexisren,binging on Death Note episodes this weekend ?,2017-09-10T00:36:44.000Z,Sunday,10500000,268,0,False,https://www.instagram.com/p/BY1zL_cDV0Z/?taken-by=alexisren,0,419,883079,night
alexisren,"summers over but I still wanna get away, where should I go? ??",2017-09-08T19:32:13.000Z,Friday,10500000,268,0,False,https://www.instagram.com/p/BYyri0FDMeH/?taken-by=alexisren,0,419,784912,night
alexisren,someone's on youtube ?,2017-09-06T16:33:58.000Z,Wednesday,10500000,268,0,True,https://www.instagram.com/p/BYtNjh0j3Lk/?taken-by=alexisren,0,419,3132122,evening
alexisren,night drives ft.you,2017-09-02T18:49:02.000Z,Saturday,10500000,268,0,False,https://www.instagram.com/p/BYjJ1OOjkcj/?taken-by=alexisren,0,419,673833,evening
alexisren,mood today cause you can now purchase @renactive in Australia through @stylerunner ??,2017-09-02T02:30:26.000Z,Saturday,10500000,268,0,False,https://www.instagram.com/p/BYhZ1zMj5Pm/?taken-by=alexisren,2,419,787256,night
alexisren,when the coffee kicks in ??,2017-08-31T16:21:44.000Z,Thursday,10500000,268,0,True,https://www.instagram.com/p/BYdvYl1DJZE/?taken-by=alexisren,0,419,4656560,evening
alexisren,right before falling asleep here for 4 hours. feeling like a zebra,2017-08-30T20:23:45.000Z,Wednesday,10500000,268,0,False,https://www.instagram.com/p/BYbmSYQjJQa/?taken-by=alexisren,0,419,759513,night
alexisren,let me tell you about a girl,2017-08-29T18:04:49.000Z,Tuesday,10500000,268,0,False,https://www.instagram.com/p/BYYxl5OjamP/?taken-by=alexisren,0,419,828104,evening
alexisren,escaping responsibilities,2017-08-27T22:05:25.000Z,Sunday,10500000,268,0,False,https://www.instagram.com/p/BYUDiSvDAzt/?taken-by=alexisren,0,419,1046842,night
alexisren,now this is gonna be fun ?@ffxvmobile is here! link in bio ?? #anewempire #lovethisgame #ad,2017-08-25T16:11:54.000Z,Friday,10500000,268,3,True,https://www.instagram.com/p/BYORfUVje82/?taken-by=alexisren,1,419,3089265,evening
alexisren,sky bubbles @lili_claspe,2017-08-18T00:46:54.000Z,Friday,10500000,268,0,False,https://www.instagram.com/p/BX6mEWVD2Hd/?taken-by=alexisren,1,419,930942,night
alexisren,can I be yours?,2017-08-16T01:41:46.000Z,Wednesday,10500000,268,0,True,https://www.instagram.com/p/BX1iwanDI8k/?taken-by=alexisren,0,419,3771085,night
nashgrier,"NEW VIDEO IS UP - LINK IN MY BIO!
Tag a friend!",2017-09-10T19:12:42.000Z,Sunday,10100000,120,0,True,https://www.instagram.com/p/BY3y5irggTa/?taken-by=nashgrier,0,939,117855,night
nashgrier,Missing some teeth @lifeofskylynn ? ?,2017-09-09T20:28:44.000Z,Saturday,10100000,120,0,False,https://www.instagram.com/p/BY1WznuAgAF/?taken-by=nashgrier,1,939,333927,night
nashgrier,?,2017-09-08T22:08:47.000Z,Friday,10100000,120,0,False,https://www.instagram.com/p/BYy9dcKAMev/?taken-by=nashgrier,0,939,205492,night
nashgrier,Count your blessings,2017-09-06T20:31:16.000Z,Wednesday,10100000,120,0,False,https://www.instagram.com/p/BYtotizAOf-/?taken-by=nashgrier,0,939,222008,night
nashgrier,?,2017-09-03T21:00:19.000Z,Sunday,10100000,120,0,False,https://www.instagram.com/p/BYl9prDgvLW/?taken-by=nashgrier,0,939,210923,night
nashgrier,"So excited football is back!
Can't wait to watch you play tomorrow @willgrier7
Tune in! #HailWV
7:30ET/4:30PT on ABC",2017-09-02T21:19:13.000Z,Saturday,10100000,120,1,False,https://www.instagram.com/p/BYjbBMzgcre/?taken-by=nashgrier,1,939,172309,night
nashgrier,"NEW VIDEO IS UP!
CLICK THE LINK IN MY BIO TO WATCH!",2017-08-31T19:21:14.000Z,Thursday,10100000,120,0,True,https://www.instagram.com/p/BYeD7UgA2SI/?taken-by=nashgrier,0,939,180846,night
nashgrier,"1 more day ?
youtube.com/",2017-08-30T21:12:08.000Z,Wednesday,10100000,120,0,False,https://www.instagram.com/p/BYbr0pAAm3T/?taken-by=nashgrier,0,939,287785,night
nashgrier,"NEW VIDEOS COMING IN TWO DAYS!
youtube.com/",2017-08-29T21:52:33.000Z,Tuesday,10100000,120,0,False,https://www.instagram.com/p/BYZLp2Dgq1a/?taken-by=nashgrier,0,939,173669,night
nashgrier,Squad #tbt,2017-08-25T02:47:24.000Z,Friday,10100000,120,1,False,https://www.instagram.com/p/BYM1a_5g6ID/?taken-by=nashgrier,0,939,256486,night
nashgrier,Feels good to be back in NYC ?,2017-08-20T17:10:13.000Z,Sunday,10100000,120,0,False,https://www.instagram.com/p/BYBgMJYgNmu/?taken-by=nashgrier,0,939,328807,evening
nashgrier,? @mitchellmccormack,2017-08-18T20:35:53.000Z,Friday,10100000,120,0,False,https://www.instagram.com/p/BX8uIrfAFke/?taken-by=nashgrier,1,939,305280,night
thefatjewish,YES I'M A MAN IN MY 30'S WHO IS A DIEHARD JONAS BROTHERS FAN AND KEVIN IS MY FUCKING FAVORITE DON'T @ ME,2017-09-11T18:59:36.000Z,Monday,10000000,420,0,False,https://www.instagram.com/p/BY6WMidhtsz/?taken-by=thefatjewish,1,3905,152977,evening
thefatjewish,Never fucking forget. #9/11,2017-09-11T15:47:52.000Z,Monday,10000000,420,1,False,https://www.instagram.com/p/BY6AQLtBx4R/?taken-by=thefatjewish,0,3905,361471,midday
thefatjewish,"Sometimes I just roll around with my Uber driver for a whole night, bringing a 45 year old Korean dude wearing True Religion jeans into a house party with me is such a strong look. (@tanyaphilip)",2017-09-10T17:00:53.000Z,Sunday,10000000,420,0,False,https://www.instagram.com/p/BY3j0Hph2ys/?taken-by=thefatjewish,1,3905,259664,evening
thefatjewish,"Irma sounds like an old Jewish woman with raging IBS and a cat hoarding problem, so probably not. (@thefunnyintrovert)",2017-09-10T15:08:21.000Z,Sunday,10000000,420,0,False,https://www.instagram.com/p/BY3W78JhBwI/?taken-by=thefatjewish,1,3905,256104,midday
thefatjewish,*GOLF CLAP* WELL PLAYED SIR (@popequanpaul),2017-09-06T14:43:09.000Z,Wednesday,10000000,420,0,False,https://www.instagram.com/p/BYtA33dBD8h/?taken-by=thefatjewish,1,3905,273562,midday
thefatjewish,SHOUTOUT TO THE MOTHERFUCKING DREAMERS,2017-09-06T02:19:53.000Z,Wednesday,10000000,420,0,False,https://www.instagram.com/p/BYrrz8Th7lq/?taken-by=thefatjewish,0,3905,452201,night
thefatjewish,I was looking at a physical photograph today and TRIED TO ZOOM IN ON IT WITH MY FINGERS (tw: @kappa_kappa),2017-09-06T01:25:23.000Z,Wednesday,10000000,420,0,False,https://www.instagram.com/p/BYrlk0Whp-i/?taken-by=thefatjewish,1,3905,238292,night
thefatjewish,I'M CARRYING AROUND A LIGHT JACKET RIGHT NOW THAT I WAS WEARING EARLIER AND I'M FUCKING FURIOUS ABOUT IT,2017-09-04T16:45:10.000Z,Monday,10000000,420,0,False,https://www.instagram.com/p/BYoFPzonpp7/?taken-by=thefatjewish,0,3905,275514,evening
thefatjewish,STAY AT HOME AND FILL A ONESIE WITH YOUR FARTS,2017-09-02T22:32:45.000Z,Saturday,10000000,420,0,False,https://www.instagram.com/p/BYjjb0oHLfr/?taken-by=thefatjewish,0,3905,294497,night
thefatjewish,"I used to be able to chug warm brown liquor and put cocaine in my butthole until 7 am then wake up and immediately go do some sweet shit, like archery. Now I have four margaritas and I wake up looking and feeling like adult Macaulay Culkin (although he recently got hunky) and need to hydrate for three straight days.",2017-09-02T16:51:24.000Z,Saturday,10000000,420,0,False,https://www.instagram.com/p/BYi8Xqdni9c/?taken-by=thefatjewish,0,3905,340432,evening
